"CountryName","Year","Lower","Median","Upper"
"Gambia The",2006,78.2,94.2,113.8
"Gambia The",2007,74,90.6,111
"Gambia The",2008,70,87.4,108.6
"Gambia The",2009,65.9,84.3,106.8
"Gambia The",2010,62,81.4,105.6
"Gambia The",2011,58.2,78.6,104.8
"Gambia The",2012,54.6,76.1,104.3
"Gambia The",2013,51,73.6,103.9
"Gambia The",2014,47.9,71.1,104.2
"Ghana",1980,157.6,166.2,175.1
"Ghana",1981,155.8,164.6,173.7
"Ghana",1982,154.6,163.1,172.2
"Ghana",1983,152.9,161.3,170.4
"Ghana",1984,150.3,158.5,167.3
"Ghana",1985,146.6,154.6,163.2
"Ghana",1986,142,149.7,158
"Ghana",1987,136.7,144.1,152.2
"Ghana",1988,131.1,138.2,146.1
"Ghana",1989,125.5,132.6,140
"Ghana",1990,120.5,127.4,134.6
"Ghana",1991,116.2,123.1,130.2
"Ghana",1992,113,119.7,126.6
"Ghana",1993,110.5,117.1,124
"Ghana",1994,108.7,115.1,122.1
"Ghana",1995,107,113.4,120.3
"Ghana",1996,105.2,111.6,118.5
"Ghana",1997,103.2,109.5,116.4
"Ghana",1998,100.7,106.9,113.8
"Ghana",1999,97.8,104,110.6
"Ghana",2000,94.6,100.7,107.3
"Ghana",2001,91.3,97.3,104
"Ghana",2002,88,94.2,100.8
"Ghana",2003,85.1,91.3,98
"Ghana",2004,82.5,88.7,95.5
"Ghana",2005,80.1,86.5,93.5
"Ghana",2006,77.8,84.4,91.8
"Ghana",2007,75.4,82.2,90
"Ghana",2008,72.5,79.9,88.1
"Ghana",2009,69.5,77.4,86.1
"Ghana",2010,66,74.7,84.1
"Ghana",2011,62.3,71.9,82.5
"Ghana",2012,58.5,69.2,81.1
"Ghana",2013,54.8,66.5,80
"Ghana",2014,51.3,64,78.9
"Guinea",1980,266.4,286.9,309.1
"Guinea",1981,262.2,282.2,303.4
"Guinea",1982,258,277.4,297.6
"Guinea",1983,253.7,272.6,292.4
"Guinea",1984,249.7,267.8,287
"Guinea",1985,245.6,263.1,281.6
"Guinea",1986,241.4,258.4,276.6
"Guinea",1987,237.2,253.6,271.3
"Guinea",1988,232.9,248.8,266
"Guinea",1989,228,243.7,260.6
"Guinea",1990,223.1,238.2,254.8
"Guinea",1991,217.7,232.4,248.5
"Guinea",1992,211.8,226.2,241.9
"Guinea",1993,205.7,219.7,234.8
"Guinea",1994,199.3,212.9,227.6
"Guinea",1995,192.8,205.9,220.3
"Guinea",1996,186.1,199,212.8
"Guinea",1997,179.5,192,205.4
"Guinea",1998,172.7,184.8,197.8
"Guinea",1999,165.8,177.5,190.3
"Guinea",2000,158.6,170.2,182.7
"Guinea",2001,151.4,162.9,175.3
"Guinea",2002,144.2,155.8,168.2
"Guinea",2003,137.5,149,161.4
"Guinea",2004,131,142.7,155.3
"Guinea",2005,124.9,136.7,149.6
"Guinea",2006,118.9,131.2,144.5
"Guinea",2007,113.2,125.9,140.1
